NAME,Prob,C,FACTOR,UNITS,DESC,SOURCE,SYM,DIST,PARM2(EF),CCF GROUP,LINK,EQUATION,NOTES,LOCATE,MTIME,TYPE,RATE,U,RATEDIST,RATEEF,STYLE,Support,ModelNotes,Template,SeedValue,Constituents,LoopMarker,Badges,SupportedBy,Attachments,TemplateName
1MOD-F-1,0.6,0,0.6,,single module probability,,U,,,,,,,,,,,,,,,,,,,,,,,,
1MOD-LOOP-F-1,0.69,0,0.69,,single module probability,,U,,,,,,,,,,,,,,,,,,,,,,,,
1MOD-S-1,0.79,0,0.79,,single module probability,,U,P,,,,,,,,,,,,,,,,,,,,,,,
227-1/2_1_2,1.893E-05,,1.893E-05,,CCF of two components: X227-1 & X227-1-MT,,Y,,,,,,,,,,,,,,,,,,,"X227-1,X227-1-MT",,,,,
227-1/2_1_3,1.893E-05,,1.893E-05,,CCF of two components: X227-1 & X227-2,,Y,,,,,,,,,,,,,,,,,,,"X227-1,X227-2",,,,,
227-1/2_1_4,1.893E-05,,1.893E-05,,CCF of two components: X227-1 & X227-MT1,,Y,,,,,,,,,,,,,,,,,,,"X227-1,X227-MT1",,,,,
227-1/2_1_5,1.893E-05,,1.893E-05,,CCF of two components: X227-1 & X227-MT2,,Y,,,,,,,,,,,,,,,,,,,"X227-1,X227-MT2",,,,,
227-1/2_2_3,1.893E-05,,1.893E-05,,CCF of two components: X227-1-MT & X227-2,,Y,,,,,,,,,,,,,,,,,,,"X227-1-MT,X227-2",,,,,
227-1/2_2_4,1.893E-05,,1.893E-05,,CCF of two components: X227-1-MT & X227-MT1,,Y,,,,,,,,,,,,,,,,,,,"X227-1-MT,X227-MT1",,,,,
227-1/2_2_5,1.893E-05,,1.893E-05,,CCF of two components: X227-1-MT & X227-MT2,,Y,,,,,,,,,,,,,,,,,,,"X227-1-MT,X227-MT2",,,,,
227-1/2_3_4,1.893E-05,,1.893E-05,,CCF of two components: X227-2 & X227-MT1,,Y,,,,,,,,,,,,,,,,,,,"X227-2,X227-MT1",,,,,
227-1/2_3_5,1.893E-05,,1.893E-05,,CCF of two components: X227-2 & X227-MT2,,Y,,,,,,,,,,,,,,,,,,,"X227-2,X227-MT2",,,,,
227-1/2_4_5,1.893E-05,,1.893E-05,,CCF of two components: X227-MT1 & X227-MT2,,Y,,,,,,,,,,,,,,,,,,,"X227-MT1,X227-MT2",,,,,
2MOD-F-1,0.09,0,0.09,,2 modules probability,,U,,,,,,,,,,,,,,,,,,,,,,,,
2MOD-LOOP-F-1,0.02,0,0.02,,2 modules probability,,U,,,,,,,,,,,,,,,,,,,,,,,,
3MOD-F-1,0.04,0,0.04,,3 modules probability,,U,,,,,,,,,,,,,,,,,,,,,,,,
3MOD-LOOP-F-1,0.02,0,0.02,,3 modules probability,,U,,,,,,,,,,,,,,,,,,,,,,,,
